UPS 3 Day Select,,,,,,,
"The ideal mix of economy and guaranteed time delivery, 3 Day Select features delivery within three business days",,,,,,,
throughout the continuous 48 states.,,,,,,,

Any fraction of a pound over the weight shown takes the next higher rate.,,,,,,,
,,,,,,,
Weight,Zone 302,Zone 303,Zone 304,Zone 305,Zone 306,Zone 307,Zone 308
1,$4.40,$4.60,$4.90,$5.10,$5.30,$5.60,$5.80
2 ,$4.60,$4.80,$5.10,$5.80,$6.10,$6.50,$6.80
3 ,$5.00,$5.30,$5.80,$6.50,$7.00,$7.40,$7.80
4 ,$5.40,$5.80,$6.40,$7.10,$7.80,$8.30,$8.80
5 ,$5.70,$6.30,$6.90,$7.70,$8.50,$9.10,$9.70
6 ,$6.10,$6.80,$7.50,$8.40,$9.30,$10.00,$10.70
7 ,$6.50,$7.30,$8.10,$9.10,$10.10,$10.90,$11.70
8 ,$6.90,$7.80,$8.70,$9.80,$11.00,$11.90,$12.70
9 ,$7.30,$8.30,$9.30,$10.50,$11.80,$12.80,$13.70
10 ,$7.70,$8.80,$9.90,$11.20,$12.60,$13.70,$14.70
11 ,$8.10,$9.30,$10.50,$11.80,$13.40,$14.60,$15.70
12 ,$8.50,$9.80,$11.10,$12.50,$14.20,$15.50,$16.70
13 ,$8.90,$10.30,$11.70,$13.20,$15.00,$16.40,$17.70
14 ,$9.30,$10.80,$12.30,$13.90,$15.90,$17.30,$18.70
15 ,$9.70,$11.30,$12.90,$14.70,$16.80,$18.20,$19.70
16 ,$10.10,$11.80,$13.50,$15.40,$17.60,$19.10,$20.70
17 ,$10.50,$12.20,$14.10,$16.10,$18.40,$20.00,$21.70
18 ,$10.90,$12.70,$14.70,$16.80,$19.20,$20.90,$22.70
19 ,$11.30,$13.20,$15.30,$17.50,$20.00,$21.80,$23.70
20 ,$11.70,$13.70,$15.90,$18.20,$20.80,$22.70,$24.60
21 ,$12.10,$14.20,$16.50,$18.90,$21.60,$23.60,$25.50
22 ,$12.50,$14.70,$17.10,$19.60,$22.40,$24.50,$26.50
23 ,$12.90,$15.20,$17.60,$20.20,$23.20,$25.40,$27.50
24 ,$13.30,$15.70,$18.20,$20.90,$24.00,$26.30,$28.50
25 ,$13.80,$16.20,$18.80,$21.60,$24.80,$27.20,$29.50
26 ,$14.20,$16.70,$19.40,$22.30,$25.60,$28.10,$30.50
27 ,$14.60,$17.20,$20.00,$22.90,$26.40,$29.00,$31.50
28 ,$15.00,$17.60,$20.60,$23.50,$27.30,$29.90,$32.50
29 ,$15.40,$18.10,$21.20,$24.20,$28.20,$30.80,$33.50
30 ,$15.80,$18.60,$21.80,$24.90,$29.00,$31.60,$34.40
31 ,$16.20,$19.10,$22.40,$25.60,$29.80,$32.50,$35.30
32 ,$16.60,$19.60,$23.00,$26.30,$30.60,$33.40,$36.30
33 ,$17.00,$20.10,$23.60,$27.00,$31.40,$34.30,$37.30
34 ,$17.40,$20.60,$24.20,$27.70,$32.20,$35.10,$38.30
35 ,$17.80,$21.10,$24.80,$28.40,$33.00,$35.90,$39.30
36 ,$18.20,$21.60,$25.40,$29.10,$33.80,$36.80,$40.30
37 ,$18.60,$22.10,$26.00,$29.80,$34.60,$37.70,$41.20
38 ,$19.00,$22.60,$26.50,$30.50,$35.40,$38.60,$42.20
39 ,$19.40,$23.00,$27.10,$31.20,$36.20,$39.50,$43.20
40 ,$19.80,$23.50,$27.70,$31.90,$37.00,$40.40,$44.20
41 ,$20.20,$24.00,$28.30,$32.60,$37.80,$41.20,$45.20
42 ,$20.60,$24.50,$28.90,$33.30,$38.70,$42.10,$46.20
43 ,$21.00,$25.00,$29.50,$34.00,$39.50,$43.00,$47.20
44 ,$21.40,$25.50,$30.10,$34.70,$40.30,$43.90,$48.10
45 ,$21.80,$26.00,$30.70,$35.40,$41.10,$44.80,$49.10
46 ,$22.20,$26.50,$31.20,$36.10,$41.90,$45.70,$50.10
47 ,$22.60,$27.00,$31.80,$36.80,$42.70,$46.60,$51.10
48 ,$23.00,$27.50,$32.40,$37.50,$43.50,$47.50,$52.10
49 ,$23.40,$28.00,$33.00,$38.20,$44.30,$48.40,$53.10
50 ,$23.80,$28.50,$33.60,$38.90,$45.10,$49.30,$54.10
51 ,$24.20,$29.00,$34.20,$39.60,$45.90,$50.20,$55.10
52 ,$24.60,$29.40,$34.80,$40.20,$46.70,$51.00,$56.10
53 ,$25.00,$29.90,$35.40,$40.90,$47.50,$51.90,$57.10
54 ,$25.40,$30.40,$36.00,$41.60,$48.30,$52.80,$58.10
55 ,$25.80,$30.90,$36.50,$42.30,$49.20,$53.70,$59.10
56 ,$26.20,$31.40,$37.10,$43.00,$50.00,$54.60,$60.10
57 ,$26.60,$31.90,$37.70,$43.70,$50.80,$55.50,$61.10
58 ,$27.00,$32.40,$38.30,$44.30,$51.60,$56.40,$62.10
