"ZONE CHART"
"UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air"

"For shipments originating in ZIP Codes 184-01 to 187-99.  To determine zone"
"take the first three digits of the receiver's ZIP Code and refer to the chart below:"

"ZONES"
Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air

004-005,2,302,202,242,132,102
006-007,-,-,225,-,-,125
008,-,-,*,-,-,*
009,-,-,225,-,-,125
010-011,3,303,203,243,133,103
012,2,302,202,242,132,102
013-039,3,303,203,243,133,103
040-049,4,304,204,244,134,104
050-051,3,303,203,243,133,103
052,2,302,202,-,132,102
053-059,3,303,203,243,133,103
060-061,2,302,202,242,132,102
062-063,3,303,203,243,133,103
064-089,2,302,202,242,132,102
090-099,-,-,-,-,-,-
100-128,2,302,202,242,132,102
129,3,303,203,243,133,103
130-135,2,302,202,242,132,102
136,3,303,203,243,133,103
137-139,2,302,202,242,132,102
140-143,3,303,203,243,133,103
144-146,2,302,202,242,132,102
147,3,303,203,243,133,103
148-149,2,302,202,242,132,102
150-157,3,303,203,243,133,103
158,2,302,202,242,132,102
159-165,3,303,203,243,133,103
166-199,2,302,202,242,132,102
200-209,3,303,203,243,133,103
210-212,2,302,202,242,132,102
213,2,302,202,-,-,102
214-216,3,303,203,243,133,103
217,2,302,202,242,132,102
218,3,303,203,243,133,103
219,2,302,202,-,132,102
220-239,3,303,203,243,133,103
240-243,4,304,204,244,134,104
244,3,303,203,243,133,103
245-253,4,304,204,244,134,104
254,3,303,203,243,133,103
255-259,4,304,204,244,134,104
260,3,303,203,243,133,103
261,4,304,204,244,134,104
262-268,3,303,203,243,133,103
270-293,4,304,204,244,134,104
294,5,305,205,245,135,105
295-297,4,304,204,244,134,104
298-299,5,305,205,245,135,105
300-329,5,305,205,245,135,105
330-334,6,306,206,246,136,106
335-338,5,305,205,245,135,105
339,6,306,206,246,136,106
340,-,-,-,-,-,-
341,6,306,206,246,136,106
342-347,5,305,205,245,135,105
349,6,306,206,246,136,106
350-375,5,305,205,245,135,105
376-379,4,304,204,244,134,104
380-394,5,305,205,245,135,105
395-396,6,306,206,246,136,106
397-399,5,305,205,245,135,105
400-418,4,304,204,244,134,104
420-424,5,305,205,245,135,105
425-438,4,304,204,244,134,104
439-447,3,303,203,243,133,103
448-474,4,304,204,244,134,104
475-478,5,305,205,245,135,105
479-497,4,304,204,244,134,104
498-499,5,305,205,245,135,105
500-509,5,305,205,245,135,105
510-512,6,306,206,246,136,106
513-514,5,305,205,245,135,105
515-516,6,306,206,246,136,106
520-561,5,305,205,245,135,105
562,6,306,206,246,136,106
563-564,5,305,205,245,135,105
565-587,6,306,206,246,136,106
588-595,7,307,207,247,137,107
596-599,8,308,208,248,138,108
600-647,5,305,205,245,135,105
648,6,306,206,246,136,106
649-663,5,305,205,245,135,105
664-693,6,306,206,246,136,106
700-719,6,306,206,246,136,106
720-726,5,305,205,245,135,105
727-732,6,306,206,246,136,106
733,7,307,207,-,-,107
734-767,6,306,206,246,136,106
768-769,7,307,207,247,137,107
770-778,6,306,206,246,136,106
779-788,7,307,207,247,137,107
789,6,306,206,-,-,106
790-791,7,307,207,247,137,107
792,6,306,206,-,-,106
793-799,7,307,207,247,137,107
800-831,7,307,207,247,137,107
832-864,8,308,208,248,138,108
865-885,7,307,207,247,137,107
889-898,8,308,208,248,138,108
900-961,8,308,208,248,138,108
962-966,-,-,-,-,-,-
967-968,-,-,224,-,-,124
969,-,-,*,-,-,*
970-994,8,308,208,248,138,108
995-999,-,-,**,-,-,**
,,,,,,
